country,country_code,deflator_2018,deflator_2019,deflator_2020
Dominican Republic,DOM,21.97641488,22.13628901,22.90445856
Algeria,DZA,40.62545723,39.54971651,37.24444102
East Asia & Pacific (excluding high income),EAP,,,
Early-demographic dividend,EAR,,,
East Asia & Pacific,EAS,,,
Europe & Central Asia (excluding high income),ECA,,,
Europe & Central Asia,ECS,,,
Ecuador,ECU,0.531780736,0.525042637,0.513965669
"Egypt, Arab Rep.",EGY,3.873510475,4.323992243,4.510901235
Euro area,EMU,,,
Eritrea,ERI,,,
Spain,ESP,0.631944,0.626031,0.617946
Estonia,EST,0.540106,0.545773,0.531582
Ethiopia,ETH,9.351406819,10.36893367,12.11389652
European Union,EUU,,,
Fragile and conflict affected situations,FCS,,,
Finland,FIN,0.851582,0.843984,0.840403
Fiji,FJI,0.93006484,0.935447875,0.912566868
France,FRA,0.755451,0.730512,0.731532
Faroe Islands,FRO,,,
"Micronesia, Fed. Sts.",FSM,1.006852755,0.992365227,
Gabon,GAB,292.7110012,292.0477934,265.4586173
United Kingdom,GBR,0.683551,0.683982,0.699569
Georgia,GEO,0.819972553,0.847420989,0.895038861
Ghana,GHA,1.8975532,2.050152458,2.32828205
Gibraltar,GIB,,,
Guinea,GIN,3362.328656,3632.037777,4053.637137
"Gambia, The",GMB,15.96540123,16.80677945,17.79265814
Guinea-Bissau,GNB,228.9459212,217.2427509,214.8628596
Equatorial Guinea,GNQ,266.2254898,255.8113767,229.1628558
Greece,GRC,0.564183,0.554176,0.543695
Grenada,GRD,1.645603926,1.643260782,1.644505162
Greenland,GRL,,,
Guatemala,GTM,3.886072835,3.958439734,4.014520506
Guam,GUM,,,
Guyana,GUY,99.91180286,101.0661996,73.59832467
High income,HIC,,,
"Hong Kong SAR, China",HKG,6.085199859,6.100863079,6.066131036
Honduras,HND,10.31564427,10.55295346,10.90984735
Heavily indebted poor countries (HIPC),HPC,,,
Croatia,HRV,3.301552648,3.272160018,3.208765366
Haiti,HTI,30.64271991,35.35360086,40.20003858
Hungary,HUN,139.311557,143.232115,148.013252
IBRD only,IBD,,,
IDA & IBRD total,IBT,,,
IDA total,IDA,,,
IDA blend,IDB,,,
Indonesia,IDN,4760.651784,4751.935742,4673.649381
IDA only,IDX,,,
Isle of Man,IMN,,,
India,IND,20.91723396,21.28320535,21.98955844
Not classified,INX,,,
Ireland,IRL,0.791185,0.806851,0.783858
"Iran, Islamic Rep.",IRN,16951.28213,22800.98232,30007.63523
Iraq,IRQ,616.578862,607.3653133,507.5758126
Iceland,ISL,138.296417,140.567255,145.342056
Israel,ISR,3.711753,3.703983,3.586796
Italy,ITA,0.679906,0.668535,0.662828
Jamaica,JAM,69.29266108,70.24394136,72.03117132
Jordan,JOR,0.29830717,0.297971523,0.293633835
Japan,JPN,103.706485,103.625494,102.835436
Kazakhstan,KAZ,129.3108508,136.7404931,139.9103444
Kenya,KEN,40.19336962,41.05260011,43.9510033
Kyrgyz Republic,KGZ,17.13202896,17.4963037,18.28261935
Cambodia,KHM,1438.268764,1458.761011,1400.091065
Kiribati,KIR,0.984778281,1.006203877,1.004180672
St. Kitts and Nevis,KNA,1.962280814,1.952395025,1.918640097
"Korea, Rep.",KOR,865.721604,868.570306,861.823593
Kuwait,KWT,0.195132623,0.189148032,
Latin America & Caribbean (excluding high income),LAC,,,
Lao PDR,LAO,2776.00508,2783.052457,2889.356045
Lebanon,LBN,756.7086808,777.021444,1414.911864
Liberia,LBR,0.441843103,0.417882233,0.408399452
Libya,LBY,0.699172495,0.679329193,0.476814861
St. Lucia,LCA,1.962282444,1.947002667,1.934939947
Latin America & Caribbean,LCN,,,
Least developed countries: UN classification,LDC,,,
Low income,LIC,,,
Liechtenstein,LIE,,,
Sri Lanka,LKA,50.07776722,50.54539262,51.65101288
Lower middle income,LMC,,,
Low & middle income,LMY,,,
Lesotho,LSO,5.894152608,5.97298966,5.897337072
Late-demographic dividend,LTE,,,
Lithuania,LTU,0.446753,0.450618,0.451998
Luxembourg,LUX,0.846841,0.846922,0.857118
Latvia,LVA,0.49098,0.496688,0.481785
"Macao SAR, China",MAC,5.212431625,5.243828189,5.178889556
St. Martin (French part),MAF,,,
Morocco,MAR,3.971916177,3.954455737,3.916888863
Monaco,MCO,,,
Moldova,MDA,5.614795016,5.819239899,6.062807522
Madagascar,MDG,1060.395126,1128.673698,1178.099083
Maldives,MDV,8.217870107,8.029460349,8.346489542
Middle East & North Africa,MEA,,,
Mexico,MEX,9.201885,9.369987,9.522285
Marshall Islands,MHL,0.973182583,0.96990903,
Middle income,MIC,,,
North Macedonia,MKD,19.03098515,18.81913986,18.82936932
Mali,MLI,212.533258,212.8364047,211.4083055
Malta,MLT,0.583902637,0.576591686,0.572536077
Myanmar,MMR,380.5516705,398.4982147,417.3527637
Middle East & North Africa (excluding high income),MNA,,,
Montenegro,MNE,0.347805275,0.340944903,0.327936264
Mongolia,MNG,837.8926828,900.4249123,931.6673226
Northern Mariana Islands,MNP,,,
Mozambique,MOZ,22.98951272,23.58942567,24.05055145
Mauritania,MRT,11.06136765,11.37562959,12.00936794
Mauritius,MUS,16.72497017,16.51477475,16.51886062
Malawi,MWI,260.2671876,275.3705735,298.8190132
Malaysia,MYS,1.626870786,1.599354668,1.567897924
North America,NAC,,,
Namibia,NAM,7.155675383,7.092634552,7.39645732
New Caledonia,NCL,,,
Niger,NER,258.5398891,254.2775904,257.595689
Nigeria,NGA,124.8431436,135.3908958,144.2703896
Nicaragua,NIC,10.83404727,11.23066645,11.74674054
Netherlands,NLD,0.775748,0.785516,0.773146
Norway,NOR,9.597451,9.763243,10.026168
Nepal,NPL,31.83127228,32.74006709,33.51567958
Nauru,NRU,1.073068535,1.089170585,
New Zealand,NZL,1.424703,1.439815,1.445397
OECD members,OED,,,
Oman,OMN,0.218809645,0.207368607,
Other small states,OSS,,,
Pakistan,PAK,33.60804542,35.86508267,38.73587485
Panama,PAN,0.489481338,0.480076746,0.458215902
Peru,PER,1.747170457,1.750598694,1.802541343
Philippines,PHL,19.63861834,19.42868306,19.51067451
Palau,PLW,0.828985602,0.813931339,
Papua New Guinea,PNG,2.150306565,2.113874808,2.108561795
Poland,POL,1.747032,1.764428,1.781862
Pre-demographic dividend,PRE,,,
Puerto Rico,PRI,0.899832298,0.905551716,0.915292483
"Korea, Dem. People's Rep.",PRK,,,
Portugal,PRT,0.571174,0.564103,0.569524
Paraguay,PRY,2523.468774,2553.882289,2575.544262
West Bank and Gaza,PSE,0.550599844,0.561766631,0.569344009
Pacific island small states,PSS,,,
Post-demographic dividend,PST,,,
French Polynesia,PYF,,,
Qatar,QAT,2.575351862,2.408055644,2.055972696
Romania,ROU,1.670899722,1.691200473,1.713248263
Russian Federation,RUS,24.662242,25.500534,25.880788
Rwanda,RWA,315.5153598,317.7345308,339.8830042
South Asia,SAS,,,
Saudi Arabia,SAU,1.795690754,1.772777927,1.612696825
Sudan,SDN,7.087060349,10.44200149,21.85004151
Senegal,SEN,238.9767497,239.1641168,245.9799034
Singapore,SGP,0.894170436,0.873004621,0.837372845
Solomon Islands,SLB,6.943319566,6.908331505,7.081937594
Sierra Leone,SLE,2486.702941,2651.686315,2739.260997
El Salvador,SLV,0.459437568,0.454593104,0.446952642
San Marino,SMR,0.680092736,0.672237394,
Somalia,SOM,8488.976537,8878.901653,9107.779262
Serbia,SRB,40.96243813,41.20806271,41.12580171
Sub-Saharan Africa (excluding high income),SSA,,,
South Sudan,SSD,,,
Sub-Saharan Africa,SSF,,,
Small states,SST,,,
Sao Tome and Principe,STP,9.987903378,10.4974869,10.93960383
Suriname,SUR,2.660339974,2.729276165,3.551328173
Slovak Republic,SVK,0.520724,0.528803,0.526884
Slovenia,SVN,0.568261,0.562517,0.556785
Sweden,SWE,8.860636,8.877487,8.765112
Eswatini,SWZ,6.230536303,6.262558226,6.357498046
Sint Maarten (Dutch part),SXM,1.442266601,,
Seychelles,SYC,8.144000785,7.924755655,7.824270636
Syrian Arab Republic,SYR,,,
Turks and Caicos Islands,TCA,1.024832996,1.028298337,1.071717533
Chad,TCD,249.8735966,252.5025192,220.5827073
East Asia & Pacific (IDA & IBRD countries),TEA,,,
Europe & Central Asia (IDA & IBRD countries),TEC,,,
Togo,TGO,237.2283195,236.6688198,236.8345422
Thailand,THA,12.72320264,12.61833934,12.33656207
Tajikistan,TJK,2.232557662,2.273651772,2.298327938
Turkmenistan,TKM,1.604142077,1.645028516,
Latin America & the Caribbean (IDA & IBRD countries),TLA,,,
Timor-Leste,TLS,0.393679889,0.421436048,0.411575032
Middle East & North Africa (IDA & IBRD countries),TMN,,,
Tonga,TON,1.584127137,1.675600111,
South Asia (IDA & IBRD),TSA,,,
Sub-Saharan Africa (IDA & IBRD countries),TSS,,,
Trinidad and Tobago,TTO,4.291563144,4.174286237,4.149190664
Tunisia,TUN,0.825806292,0.87729564,0.909435238
Turkey,TUR,1.633464,1.895514,2.128511
Tuvalu,TUV,1.226238814,1.309471441,1.293799799
Tanzania,TZA,890.0489459,896.0664385,888.3205387
Uganda,UGA,1297.097,1301.906614,1321.345944
Ukraine,UKR,6.667200512,7.090465968,7.694794448
Upper middle income,UMC,,,
Uruguay,URY,24.36315204,25.97590614,28.45435179
United States,USA,1,1,1
Uzbekistan,UZB,1783.704754,2077.831523,2297.172151
St. Vincent and the Grenadines,VCT,1.556963747,1.547298899,1.543001807
"Venezuela, RB",VEN,,,
British Virgin Islands,VGB,,,
Virgin Islands (U.S.),VIR,,,
Vietnam,VNM,7467.350079,7467.602969,7473.667859
Vanuatu,VUT,108.6928813,109.5360007,110.1731348
World,WLD,,,
Samoa,WSM,1.660164464,1.667100465,
Kosovo,XKX,0.335476107,0.33170576,0.330934498
"Yemen, Rep.",YEM,,,
South Africa,ZAF,6.52181775,6.665092436,6.933437593
Zambia,ZMB,4.397740473,4.650397495,5.588507747
Zimbabwe,ZWE,0.805354971,3.560536398,24.97726186
